OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,FC_FC_CODE,FC_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,speed
31269,"0920145",0,0.21,"7",Local,"092",NEW HAVEN,"2024",{BF3F5F2D-0174-4235-9CF5-F88009D957C4},25
31270,"0920148",0,0.39,"7",Local,"092",NEW HAVEN,"2024",{E284C1A6-2BE4-47CA-9408-0C1FDEF29B74},25
31271,"0920577",0,0.87,"7",Local,"092",NEW HAVEN,"2024",{34385052-C16E-4825-96A8-A5CF0E8435E6},25
31272,"0920598",0,0.12,"7",Local,"092",NEW HAVEN,"2024",{BB2414F6-4AAF-4A73-86D7-A8F98CC9BBFD},25
31273,"0920608",0,0.4,"7",Local,"092",NEW HAVEN,"2024",{F5EC82EA-0D5F-4945-9492-2AF0DB14B118},25
31274,"0920622",0,0.39,"7",Local,"092",NEW HAVEN,"2024",{0367E724-643E-4C44-BBA3-5635D10A26C4},25
31275,"0920628",0.15,0.51,"5",Major Collector,"092",NEW HAVEN,"2024",{FFC8936B-3A30-4371-8F19-6F90EDBA26D6},30
31276,"0920633",0,0.09,"7",Local,"092",NEW HAVEN,"2024",{20B304F9-3488-422A-AEDD-168ACA3D21B4},25
31277,"0920634",0,0.23,"7",Local,"092",NEW HAVEN,"2024",{BD1B4A90-CAA2-4B02-9416-C3DDFD550E85},25
31278,"0920641",0,0.3,"7",Local,"092",NEW HAVEN,"2024",{243DBEC1-F3DB-4D8C-8E97-638E1A25B0F5},25
31279,"0920645",0,0.18,"7",Local,"092",NEW HAVEN,"2024",{A8FAEA88-FCF6-44E2-AC4A-DA6143377718},25
31280,"0920666",0,0.92,"4",Minor Arterial,"092",NEW HAVEN,"2024",{41AAC1D1-310E-4672-9BA1-0837508FD3C0},40
31281,"0920669",0,0.39,"7",Local,"092",NEW HAVEN,"2024",{1413E7ED-4C49-480F-830A-ED146AC0622B},25
31282,"0920671",0.08,1.49,"7",Local,"092",NEW HAVEN,"2024",{6B9A17D5-6573-4B72-88B9-5105DA9F2BC9},25
31283,"0920672",0,0.42,"4",Minor Arterial,"092",NEW HAVEN,"2024",{1B5AF89D-78A4-4ACC-86AB-09477C816124},40
31284,"0960173",0,1.24,"7",Local,"096",NEWTOWN,"2024",{41F84BA3-0CD7-499F-8911-5B71697C47E1},25
31285,"0960180",0,0.67,"6",Minor Collector,"096",NEWTOWN,"2024",{8B1142A0-A692-44A9-9B06-8CD3800FAA12},30
31286,"0960188",0,2.72,"6",Minor Collector,"096",NEWTOWN,"2024",{40161BC3-1C6B-49D8-A685-6C82C832BE13},30
31287,"0960191",0,0.14,"7",Local,"096",NEWTOWN,"2024",{C2CCCCFA-D44E-4AD2-9905-963FCF985A8F},25
31288,"0960199",0,0.17,"7",Local,"096",NEWTOWN,"2024",{0AF5D537-297B-45D8-A99E-573078C9B6B7},25
31289,"0860037",0,0.26,"7",Local,"086",MORRIS,"2024",{856A9BCD-F308-4A3A-B1BF-751403568F6F},25
31290,"0860039",0,0.34,"7",Local,"086",MORRIS,"2024",{577565F0-22C9-4D7E-ACAB-AA4D0779C2A0},25
31291,"0870005",0,0.11,"7",Local,"087",NAUGATUCK,"2024",{76FD1A5E-44B1-430A-91E9-6652E621F09E},25
31292,"0870011",0,2.29,"7",Local,"087",NAUGATUCK,"2024",{B74027D9-2819-43B8-96D6-C7AEB6F70B8F},25
31293,"0870017",0,0.25,"7",Local,"087",NAUGATUCK,"2024",{BEEE7D99-FDD1-411A-BEBE-4EDE180B167F},25
31294,"0870032",0,0.09,"7",Local,"087",NAUGATUCK,"2024",{139651CB-7B5C-4A2D-84D9-CBDDDB146DB0},25
31295,"0870035",0,0.25,"7",Local,"087",NAUGATUCK,"2024",{703A26A0-17E5-416F-8EBA-3B584AD91D3E},25
31296,"0870047",0,0.03,"7",Local,"087",NAUGATUCK,"2024",{5C45A12A-C590-4475-913C-3157C42D1268},25
31297,"0870062",0,0.07,"7",Local,"087",NAUGATUCK,"2024",{C02F11A4-48FE-4D60-8BD8-B0DE32FA05F3},25
31298,"0870092",1.27,1.68,"6",Minor Collector,"087",NAUGATUCK,"2024",{A9284AE0-F591-4B2C-96F9-63617051237F},30
31299,"0870100",0,0.14,"7",Local,"087",NAUGATUCK,"2024",{48984359-4C78-4D2B-9799-424EA1DF7555},25
31300,"0870104",0,0.2,"7",Local,"087",NAUGATUCK,"2024",{2F803981-A148-4B10-9780-D5892BA3F496},25
31301,"0870107",0,0.03,"7",Local,"087",NAUGATUCK,"2024",{2AA2E9BD-4C95-4B6B-B681-ACA2411C2CFA},25
31302,"0870113",0,0.19,"7",Local,"087",NAUGATUCK,"2024",{F782223C-5814-497A-BADE-F30AFD991BB1},25
31303,"0870117",0.19,0.29,"5",Major Collector,"087",NAUGATUCK,"2024",{893E5D28-6A14-4FF6-BF04-0803220410A1},30
31304,"0920150",0,0.2,"7",Local,"092",NEW HAVEN,"2024",{D25BF488-C5A3-4EBB-BEE2-BACD36905E4F},25
31305,"0920170",0,0.25,"7",Local,"092",NEW HAVEN,"2024",{C77AED57-0599-4359-B195-7A696843559C},25
31306,"0920178",0,0.1,"7",Local,"092",NEW HAVEN,"2024",{4DF97A08-3A4A-442F-985D-9DD507D428D4},25
31307,"0920184",0.24,0.78,"5",Major Collector,"092",NEW HAVEN,"2024",{944685B8-C21E-44C9-9A7F-CEA2B69D789F},30
31308,"0920185",0,0.23,"7",Local,"092",NEW HAVEN,"2024",{A4704187-2C01-41F0-AFD6-5E873F09A8EB},25
31309,"0920186",0,0.18,"7",Local,"092",NEW HAVEN,"2024",{2B8D2E1B-4BA7-4207-882A-934EA014CA39},25
31310,"0920191",0,0.24,"7",Local,"092",NEW HAVEN,"2024",{38A32304-6C75-48F1-A7EC-33499A484F56},25
31311,"0920197",0,0.12,"7",Local,"092",NEW HAVEN,"2024",{656BCB21-A3BF-47D2-AB13-EF83BFE11804},25
31312,"0920205",0,0.04,"4",Minor Arterial,"092",NEW HAVEN,"2024",{687CC8F4-2F1E-47EF-A66A-15ABA238EE6B},40
31313,"0920206",0,0.56,"7",Local,"092",NEW HAVEN,"2024",{0B8228AE-AC6A-4E26-8F04-EDABBD888657},25
31314,"0920209",0,0.23,"7",Local,"092",NEW HAVEN,"2024",{3EC9392E-D315-40EA-972D-95EABB90DA84},25
31315,"0920214",0,0.08,"7",Local,"092",NEW HAVEN,"2024",{6FCA8653-67A3-4D74-9004-41EB5D6E0FA2},25
31316,"0920239",0,0.23,"7",Local,"092",NEW HAVEN,"2024",{6E13796A-5604-4511-9A0B-183238B1A4F2},25
31317,"0920245",0,0.07,"7",Local,"092",NEW HAVEN,"2024",{C91BD620-2DDC-4227-B813-D63ED6933D4D},25
31318,"0920258",0,0.11,"5",Major Collector,"092",NEW HAVEN,"2024",{283C5CBC-14B2-42FE-9F2A-90A2C295C0A0},30
31319,"0920265",0,0.15,"7",Local,"092",NEW HAVEN,"2024",{B12FC7E7-4975-42A9-B37A-34E9481513E3},25
31320,"0920271",0,0.18,"5",Major Collector,"092",NEW HAVEN,"2024",{343DDBA0-7FA1-4541-ADA4-D6B719613820},30
31321,"0920271",0.18,0.53,"3",Other Principal Arterial,"092",NEW HAVEN,"2024",{BC0E180C-10F5-44B6-897B-60CD55277029},35
31322,"0920272",0,0.37,"7",Local,"092",NEW HAVEN,"2024",{55DBA5A5-5D38-4E12-A37F-81632CA9F873},25
31323,"0920274",0,0.22,"7",Local,"092",NEW HAVEN,"2024",{DB9016D3-89ED-479F-A444-20DF74B870D5},25
31324,"0920280",0,0.21,"7",Local,"092",NEW HAVEN,"2024",{C5884479-1C2C-4A54-9029-2A38414F27E9},25
31325,"0920678",1.36,1.66,"4",Minor Arterial,"092",NEW HAVEN,"2024",{30E3DC79-0758-48D1-B005-46F513DBA72C},40
